id,quantity,price,order_id,product_id,,
59,34,4542672,39,37,,"(59,34,4542672,39,37),"
60,77,2746159,4,34,,"(60,77,2746159,4,34),"
61,89,4612498,84,96,,"(61,89,4612498,84,96),"
62,85,5693739,69,98,,"(62,85,5693739,69,98),"
63,36,8396980,44,43,,"(63,36,8396980,44,43),"
64,5,7642253,55,54,,"(64,5,7642253,55,54),"
65,48,9786616,33,80,,"(65,48,9786616,33,80),"
66,56,4014438,44,94,,"(66,56,4014438,44,94),"
67,75,1819100,13,24,,"(67,75,1819100,13,24),"
68,53,1365693,100,48,,"(68,53,1365693,100,48),"
69,26,2436775,52,10,,"(69,26,2436775,52,10),"
70,7,7765348,78,94,,"(70,7,7765348,78,94),"
71,13,486739,60,99,,"(71,13,486739,60,99),"
72,73,9480262,2,66,,"(72,73,9480262,2,66),"
73,24,1431122,87,46,,"(73,24,1431122,87,46),"
74,7,4734766,38,96,,"(74,7,4734766,38,96),"
75,65,3276519,57,29,,"(75,65,3276519,57,29),"
76,12,5575323,95,54,,"(76,12,5575323,95,54),"
77,62,7655988,28,30,,"(77,62,7655988,28,30),"
78,23,5937375,55,75,,"(78,23,5937375,55,75),"
79,19,4218637,37,55,,"(79,19,4218637,37,55),"
80,85,6402523,72,55,,"(80,85,6402523,72,55),"
81,99,9315302,49,2,,"(81,99,9315302,49,2),"
82,33,1233740,73,85,,"(82,33,1233740,73,85),"
83,25,32824,87,83,,"(83,25,32824,87,83),"
84,6,546731,38,63,,"(84,6,546731,38,63),"
85,35,2035400,64,7,,"(85,35,2035400,64,7),"
86,3,6563708,11,24,,"(86,3,6563708,11,24),"
87,48,7988682,1,73,,"(87,48,7988682,1,73),"
88,38,7035474,13,70,,"(88,38,7035474,13,70),"
89,41,7983254,23,68,,"(89,41,7983254,23,68),"
90,49,6612489,93,30,,"(90,49,6612489,93,30),"
91,99,9793765,17,7,,"(91,99,9793765,17,7),"
92,53,9789784,20,43,,"(92,53,9789784,20,43),"
93,28,15268,82,86,,"(93,28,15268,82,86),"
94,93,4931079,45,25,,"(94,93,4931079,45,25),"
95,77,553144,65,75,,"(95,77,553144,65,75),"
96,94,6884987,45,13,,"(96,94,6884987,45,13),"
97,2,8389360,2,96,,"(97,2,8389360,2,96),"
98,48,2168734,13,48,,"(98,48,2168734,13,48),"
99,17,2830052,31,56,,"(99,17,2830052,31,56),"
100,28,6179991,14,91,,"(100,28,6179991,14,91),"
